,Pro Name,Team,Server,AccName,CurRank
944,Stixxay,Counter Logic Gaming,NA,017cnFI3a1,Unranked
945,Stixxay,Counter Logic Gaming,NA,1.92092E+11,Gold I
946,Stixxay,Counter Logic Gaming,NA,Stixxay,Diamond II
947,Stomaged,SuperMassive eSports,EUW,361ufo,Master [13 LP]
948,Stomaged,SuperMassive eSports,KR,요정도면이득,Diamond III
949,Stunt,,NA,5tunt,Challenger [760 LP]
950,Stunt,,NA,stuntopolis,Challenger [799 LP]
951,Stunt,,NA,teamatesrfriends,Platinum II
952,Stunt,,NA,rpz,Diamond III
953,Stunt,,KR,534N,Unranked
954,Summit,Afreeca Freecs,KR,aceerfa,Challenger [470 LP]
955,Svenskeren,Cloud9,KR,NA JG 1,Unranked
956,Svenskeren,Cloud9,BR,NA 1,Unranked
957,Svenskeren,Cloud9,NA,intrudr,Gold I
958,Svenskeren,Cloud9,NA,Band0,Challenger [835 LP]
959,Svenskeren,Cloud9,NA,tryname1,Unranked
960,Svenskeren,Cloud9,KR,사과톡톡톡톡톡,Unranked
961,Svenskeren,Cloud9,KR,C9 Sven,Diamond I
962,Swift,Vici Gaming,KR,수입뿌드,Master [312 LP]
963,Swifte,,NA,Swifte,Diamond IV
964,Swifte,,NA,S and Alix,Unranked
965,Swifte,,NA,Swifte2,Challenger [430 LP]
966,Swifte,,NA,etfiwS,Unranked
967,Swifte,,NA,06 12 98,Master [142 LP]
968,Sword,Griffin,KR,이도류,Challenger [500 LP]
969,SwordArt,Flash Wolves,KR,FW SwordArT,Challenger [679 LP]
970,SwordArt,Flash Wolves,EUW,FW Schwertkunst,Platinum III
971,Sya,GigaByte Marines,KR,Show You Are,Diamond IV
972,takeshi,Keyd Stars,BR,golden merilo,Diamond III
973,takeshi,Keyd Stars,BR,takeshi,Diamond I
974,Targamas,Giants Gaming,EUW,Targamas,Challenger [615 LP]
975,Tarzan,Griffin,KR,댕 제,"Challenger [1,305 LP]"
976,Tarzan,Griffin,KR,츠코파이,"Challenger [1,168 LP]"
977,Tay,paiN Gaming,BR,tay OwO,Challenger [690 LP]
978,Tay,paiN Gaming,BR,Esdeath,Unranked
979,Tay,paiN Gaming,BR,YaphetS,Unranked
980,Teddy,Jin Air Green Wings,KR,TnTeddy,Platinum V
981,Teddy,Jin Air Green Wings,KR,진에어 테디,Diamond I
982,Teddy,Jin Air Green Wings,KR,생각좀할게요,Unranked
983,Tempt,bbq Olivers,KR,명구리버드,Challenger [905 LP]
984,Th3Antonio,Giants Gaming,EUW,VGIA Th3Antonio,Diamond I
985,Thal,SK Telecom T1,KR,SKT T1 ThaI,Challenger [474 LP]
986,Thaldrin,1907 Fenerbahce,EUW,FB Thaldrin,Diamond I
987,TheShy,Invictus Gaming,KR,iG TheShy,Diamond III
988,TheShy,Invictus Gaming,KR,The shy,Challenger [543 LP]
989,TheShy,Invictus Gaming,KR,ToTkr2,Challenger [490 LP]
990,Theusma,T Show,BR,I go home BTW,Diamond I
991,Theusma,T Show,BR,rtbf27630145,Unranked
992,Tierwulf,Kaos Latin Gamers,EUW,Wildcard Jungler,Platinum V
993,Tierwulf,Kaos Latin Gamers,KR,Tierwulf,Diamond III
994,TitaN,KaBuM! e-Sports,EUW,1.11222E+13,Platinum V
995,TitaN,KaBuM! e-Sports,KR,lashitmagic,Master [0 LP]
996,Tockers,Vivo Keyd,BR,aint my concern,Diamond IV
997,Tockers,Vivo Keyd,BR,yougodie,Gold I
998,Tockers,Vivo Keyd,BR,MeMyself4ndl,Master [0 LP]
999,Tockers,Vivo Keyd,KR,rexpeita o rato,Platinum II
1000,Totoro,Unicorns Of Love,KR,UOL Totoro,Diamond I
1001,Totoro,Unicorns Of Love,EUW,Euntoro,Diamond I
1002,TrAce,Gen.G,KR,GenG LlFE,Master [154 LP]
1003,Trashy,,NA,NME Trashyy,Unranked
1004,Trashy,,EUW,SPY Jungler,Unranked
1005,Trick,bbq Olivers,KR,MakeEuGreatAgain,Unranked
1006,Trick,bbq Olivers,BR,Muito prazer,Unranked
1007,Trick,bbq Olivers,EUW,NiceLife XD,Unranked
1008,Trick,bbq Olivers,EUW,Scaphism,Unranked
1009,Trick,bbq Olivers,EUW,ImNotYourBrother,Unranked
1010,Trick,bbq Olivers,KR,Pepper Japchae,Diamond I
1011,Triple,Dire Wolves,EUW,6789998212,Platinum II
1012,Triple,Dire Wolves,KR,GUNDAM WERRA,Master [228 LP]
1013,Turtle,INTZ e-Sports,BR,Tartaruga Véia,Master [145 LP]
1014,Turtle,INTZ e-Sports,BR,CNBrunch,Diamond III
1015,TusiN,Afreeca Freecs,KR,박투신,Challenger [650 LP]
1016,TusiN,Afreeca Freecs,KR,6882867del,Unranked
1017,TusiN,Afreeca Freecs,KR,12722323del,Platinum V
1018,Tussle,Rampage,KR,unsold stuff TSL,Diamond I
1019,U Jun,Kongdoo Monster,KR,유준나,Challenger [637 LP]
1020,Ucal,KT Rolster,KR,KT Ucal,Challenger [450 LP]
1021,UmTi,Jin Air Green Wings,KR,겜만할꺼양,Unranked
1022,UmTi,Jin Air Green Wings,KR,JAG UmTi,Challenger [393 LP]
1023,UmTi,Jin Air Green Wings,KR,슈계 RP주세요TnT,Unranked
1024,UmTi,Jin Air Green Wings,KR,See u AG,Master [325 LP]
1025,Uniboy,MAD Team,KR,HoHotDoG 02,Master [70 LP]
1026,Uniboy,MAD Team,KR,wslaoem04,Diamond I
1027,Unified,Hong Kong Attitude,KR,Number8 AD,Unranked
1028,Untara,SK Telecom T1,KR,5228315del,Unranked
1029,Untara,SK Telecom T1,KR,SKT T1 Untara,Diamond I
1030,Untara,SK Telecom T1,KR,SD건담캡슐파이,Challenger [437 LP]
1031,Untara,SK Telecom T1,KR,56850483del,Unranked
1032,Upset,FC Schalke 04,EUW,S04 Upset,Master [313 LP]
1033,Upset,FC Schalke 04,EUW,S04 Upset1,Diamond IV
1034,Uzi,Royal Never Give Up,KR,Uzzzi,Unranked
